Transaction Date,Transaction Time,Product,Quantity,Total Price
2024-01-01,21:34:00,Mojos,3,315
2024-01-01,17:24:00,Mocha,3,480
2024-01-01,20:38:00,Chocolate Frappe,3,480
2024-01-01,01:27:00,Spanish Latte,1,160
2024-01-01,02:10:00,Biscoff (Coffee or None),2,340
2024-01-01,05:43:00,Cappuccino,4,580
2024-01-01,13:25:00,Sausage,2,210
2024-01-01,19:44:00,Matcha Frappuccino,4,640
2024-01-01,04:12:00,Coffee Jelly Frappuccino,4,680
2024-01-01,07:54:00,Peach Mango Frappe,3,480
2024-01-01,11:39:00,Savory Bites,4,420
2024-01-01,03:09:00,Black Tea Strawberry Peach,2,280
2024-01-01,10:46:00,Latte,1,145
2024-01-01,02:46:00,Bap's Coffee Signature,2,320
2024-01-01,10:00:00,Salted Caramel Latte,4,640
2024-01-01,04:01:00,Matcha,2,300
2024-01-02,09:24:00,Lasagna,2,340
2024-01-02,01:31:00,Cookies & Cream Frappe,3,510
2024-01-02,08:28:00,Hazelnut Mocha Macchiato,4,640
2024-01-02,03:25:00,Chicken or Beef Quesadilla Whole,1,200
2024-01-02,17:05:00,Salted Caramel Latte,2,320
2024-01-02,09:25:00,White Chocolate Mocha,2,320
2024-01-02,11:42:00,Salted Caramel Latte,2,320
2024-01-02,02:41:00,Lasagna,2,340
2024-01-02,13:35:00,Matcha,3,450
2024-01-02,21:15:00,Mocha,1,160
2024-01-02,11:59:00,Matcha Frappuccino,1,160
2024-01-02,14:38:00,Matcha Frappe,1,160
2024-01-02,03:36:00,Biscoff (Coffee or None),4,680
2024-01-02,00:14:00,Mojos,1,105
2024-01-02,08:40:00,Americano,4,440
2024-01-02,10:47:00,Americano,4,440
2024-01-02,09:52:00,Spanish Latte,4,640
2024-01-02,06:58:00,Chicken or Beef Quesadilla Whole,1,200
2024-01-03,02:14:00,Savory Bites,1,105
2024-01-03,12:59:00,Mocha,2,320
2024-01-03,17:51:00,Nachos (for sharing),3,585
2024-01-03,13:24:00,White Chocolate Chip Frappe,3,510
2024-01-03,16:00:00,Coffee Jelly Frappuccino,3,510
2024-01-03,10:42:00,Matcha,1,150
2024-01-03,20:41:00,Caramel Macchiato,3,480
2024-01-03,14:30:00,Matcha,3,450
2024-01-03,03:26:00,Bap's Coffee Signature,3,480
2024-01-03,14:51:00,Lasagna,1,170
2024-01-03,12:22:00,Bap's Platter (for sharing),1,290
2024-01-03,08:04:00,Bap's Platter (for sharing),3,870
2024-01-03,19:54:00,Black Tea Strawberry Peach,1,140
2024-01-03,19:43:00,Classic Chocolate,3,450
2024-01-04,09:37:00,Coffee Jelly Frappuccino,2,340
2024-01-04,13:15:00,White Chocolate Mocha,4,640
2024-01-04,22:34:00,Cookies & Cream Frappe,4,680
2024-01-04,20:54:00,Savory Bites,2,210
2024-01-04,23:28:00,Nachos (for sharing),1,195
2024-01-04,10:32:00,Creamy Chicken Pesto,4,680
2024-01-04,21:22:00,Classic Chocolate,3,450
2024-01-04,23:54:00,White Chocolate Mocha,1,160
2024-01-04,20:57:00,Nachos (for sharing),4,780
2024-01-04,23:17:00,Biscoff (Coffee or None),4,680
2024-01-04,20:56:00,Bap's Platter (for sharing),4,1160
2024-01-04,23:29:00,White Hot Chocolate,3,450
2024-01-04,11:38:00,Strawberries & Cream,1,160
2024-01-04,10:41:00,Cappuccino,4,580
2024-01-04,20:48:00,White Chocolate Chip Frappe,1,170
2024-01-04,19:13:00,Chocolate Frappe,1,160
2024-01-04,23:59:00,Lasagna,3,510
2024-01-04,03:22:00,Salted Caramel Latte,4,640
2024-01-04,12:46:00,Strawberries & Cream,2,320
2024-01-04,14:43:00,Biscoff (Coffee or None),2,340
2024-01-04,16:21:00,White Chocolate Mocha,3,480
2024-01-04,10:08:00,Biscoff Cream,1,170
2024-01-04,07:43:00,White Chocolate Mocha,1,160
2024-01-04,10:59:00,Latte,4,580
2024-01-04,22:49:00,Chocolate Frappe,3,480
2024-01-04,19:31:00,Chocolate Frappe,4,640
2024-01-04,08:08:00,Hazelnut Mocha Macchiato,1,160
2024-01-04,14:31:00,Matcha Frappe,1,160
2024-01-05,07:52:00,Savory Bites,2,210
2024-01-05,23:58:00,White Chocolate Chip Frappe,2,340
2024-01-05,04:22:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-05,05:45:00,Biscoff Cream,4,680
2024-01-05,14:56:00,Cappuccino,4,580
2024-01-05,07:32:00,White Hot Chocolate,1,150
2024-01-05,16:54:00,Bap's Platter (for sharing),1,290
2024-01-05,13:35:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-05,06:43:00,Latte,4,580
2024-01-05,10:27:00,Nachos (for sharing),3,585
2024-01-05,01:43:00,Mocha,4,640
2024-01-05,18:55:00,Chicken or Beef Quesadilla Whole,2,400
2024-01-05,01:38:00,Peach Mango Frappe,1,160
2024-01-05,15:13:00,Mojos,4,420
2024-01-05,13:41:00,Matcha Frappe,3,480
2024-01-05,15:56:00,Biscoff Cream,1,170
2024-01-05,13:20:00,Nachos (for sharing),2,390
2024-01-05,13:35:00,Matcha Frappuccino,4,640
2024-01-05,19:18:00,Mocha,3,480
2024-01-05,10:39:00,Strawberries & Cream,1,160
2024-01-06,15:54:00,White Hot Chocolate,3,450
2024-01-06,23:18:00,Coffee Jelly Frappuccino,2,340
2024-01-06,00:37:00,Sausage,2,210
2024-01-06,21:46:00,Mocha,3,480
2024-01-06,21:40:00,Chicken or Beef Quesadilla Half,2,220
2024-01-06,04:43:00,Nachos (for sharing),3,585
2024-01-06,07:32:00,Nachos (for sharing),4,780
2024-01-06,09:06:00,Chocolate Frappe,4,640
2024-01-06,19:55:00,Strawberries & Cream,4,640
2024-01-06,07:56:00,Sausage,2,210
2024-01-06,01:38:00,White Chocolate Mocha,4,640
2024-01-06,22:52:00,Biscoff (Coffee or None),1,170
2024-01-06,18:42:00,Choose Any Two,4,760
2024-01-06,18:59:00,Nachos (for sharing),3,585
2024-01-06,15:27:00,Matcha Frappuccino,3,480
2024-01-06,21:19:00,Nachos (for sharing),3,585
2024-01-06,09:25:00,Matcha Frappe,2,320
2024-01-06,11:25:00,Latte,4,580
2024-01-06,14:13:00,Bap's Platter (for sharing),3,870
2024-01-06,02:34:00,Cappuccino,2,290
2024-01-06,13:04:00,Cappuccino,4,580
2024-01-06,23:36:00,Nachos (for sharing),3,585
2024-01-06,12:38:00,Mojos,2,210
2024-01-06,15:20:00,Chicken or Beef Quesadilla Whole,4,800
2024-01-06,13:47:00,Classic Chocolate,2,300
2024-01-07,05:20:00,Cookies & Cream Frappe,4,680
2024-01-07,10:53:00,Biscoff Cream,4,680
2024-01-07,19:26:00,White Chocolate Chip Frappe,4,680
2024-01-07,13:53:00,Chicken or Beef Quesadilla Half,4,440
2024-01-07,14:13:00,White Chocolate Chip Frappe,3,510
2024-01-07,09:34:00,Peach Mango Frappe,2,320
2024-01-07,05:13:00,Coffee Jelly Frappuccino,2,340
2024-01-07,05:04:00,Coffee Jelly Frappuccino,4,680
2024-01-07,17:57:00,White Chocolate Mocha,3,480
2024-01-07,04:23:00,Nachos (for sharing),1,195
2024-01-07,18:46:00,Caramel Macchiato,4,640
2024-01-07,14:36:00,White Chocolate Mocha,4,640
2024-01-07,00:46:00,Sausage,3,315
2024-01-07,04:28:00,Biscoff Cream,2,340
2024-01-07,10:56:00,Sausage,4,420
2024-01-07,18:01:00,Chocolate Frappe,3,480
2024-01-08,01:56:00,Lasagna,2,340
2024-01-08,19:10:00,White Chocolate Chip Frappe,1,170
2024-01-08,16:52:00,White Hot Chocolate,1,150
2024-01-08,13:21:00,Americano,4,440
2024-01-08,08:07:00,Peach Mango Frappe,1,160
2024-01-08,21:35:00,Americano,1,110
